date,inst_pct,top5_pct,top10_pct
2025-08-18 00:00:00.000000,24.10500145704157,81.44928150432793,100.0
2025-08-18 00:39:53.881992,24.10500145704157,81.44928150432793,100.0
2025-08-18 00:40:03.884652,24.10500145704157,81.44928150432793,100.0
2025-08-18 00:40:08.286864,24.10500145704157,81.44928150432793,100.0
2025-08-18 00:40:12.617876,24.10500145704157,81.44928150432793,100.0
2025-08-18 00:40:14.889148,24.10500145704157,81.44928150432793,100.0
2025-08-18 00:40:17.354663,24.10500145704157,81.44928150432793,100.0
2025-08-18 00:40:18.192639,24.10500145704157,81.44928150432793,100.0
2025-08-18 00:40:18.969506,24.10500145704157,81.44928150432793,100.0
2025-08-18 00:40:20.471027,24.10500145704157,81.44928150432793,100.0
2025-08-18 00:40:23.666584,24.10500145704157,81.44928150432793,100.0
2025-08-18 00:40:25.724415,24.10500145704157,81.44928150432793,100.0
2025-08-18 00:40:27.281200,24.10500145704157,81.44928150432793,100.0
2025-08-18 00:40:27.969064,24.10500145704157,81.44928150432793,100.0
2025-08-18 00:46:36.399874,24.10500145704157,81.44928150432793,100.0
2025-08-18 00:48:45.528441,24.10500145704157,81.44928150432793,100.0
2025-08-18 00:49:54.704404,24.10500145704157,81.44928150432793,100.0
2025-08-18 00:49:55.318018,24.10500145704157,81.44928150432793,100.0
2025-08-18 00:55:22.140798,24.10500145704157,81.44928150432793,100.0
2025-08-18 00:56:13.941114,24.10500145704157,81.44928150432793,100.0
2025-08-18 00:57:21.343818,24.10500145704157,81.44928150432793,100.0
